date=30/05/09 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      3712.50      303.157      2.210E-04      -10.680      -5.6826      0.0000
      3737.50      303.314      2.188E-04      -10.745      -5.7102      0.0000
      3762.50      303.469      2.168E-04      -10.812      -5.7364      0.0000
      3787.50      303.624      2.150E-04      -10.881      -5.7611      0.0000
      3812.50      303.777      2.133E-04      -10.953      -5.7843      0.0000
      3837.50      303.929      2.119E-04      -11.027      -5.8062      0.0000
      3862.50      304.080      2.106E-04      -11.103      -5.8266      0.0000
      3887.50      304.230      2.095E-04      -11.182      -5.8456      0.0000
      3912.50      304.378      2.086E-04      -11.263      -5.8631      0.0000
      3937.50      304.526      2.078E-04      -11.346      -5.8793      0.0000
      3962.50      304.672      2.072E-04      -11.432      -5.8941      0.0000
      3987.50      304.818      2.067E-04      -11.519      -5.9075      0.0000
      4012.50      304.962      2.063E-04      -11.609      -5.9194      0.0000
      4037.50      305.105      2.061E-04      -11.700      -5.9300      0.0000
      4062.50      305.247      2.061E-04      -11.794      -5.9392      0.0000
      4087.50      305.388      2.061E-04      -11.889      -5.9471      0.0000
      4112.50      305.527      2.063E-04      -11.987      -5.9535      0.0000
      4137.50      305.666      2.066E-04      -12.086      -5.9586      0.0000
      4162.50      305.803      2.070E-04      -12.188      -5.9624      0.0000
      4187.50      305.939      2.075E-04      -12.291      -5.9647      0.0000
      4212.50      306.074      2.082E-04      -12.395      -5.9658      0.0000
      4237.50      306.208      2.090E-04      -12.502      -5.9655      0.0000
      4262.50      306.341      2.098E-04      -12.610      -5.9638      0.0000
      4287.50      306.473      2.108E-04      -12.720      -5.9608      0.0000
      4312.50      306.603      2.119E-04      -12.832      -5.9565      0.0000
      4337.50      306.732      2.131E-04      -12.945      -5.9508      0.0000
      4362.50      306.861      2.143E-04      -13.060      -5.9439      0.0000
      4387.50      306.988      2.157E-04      -13.176      -5.9356      0.0000
      4412.50      307.114      2.172E-04      -13.293      -5.9260      0.0000
      4437.50      307.238      2.187E-04      -13.413      -5.9151      0.0000
      4462.50      307.362      2.204E-04      -13.533      -5.9029      0.0000
      4487.50      307.484      2.221E-04      -13.655      -5.8895      0.0000
      4512.50      307.606      2.239E-04      -13.778      -5.8747      0.0000
      4537.50      307.726      2.258E-04      -13.902      -5.8586      0.0000
      4562.50      307.845      2.278E-04      -14.028      -5.8413      0.0000
      4587.50      307.962      2.298E-04      -14.155      -5.8227      0.0000
      4612.50      308.079      2.320E-04      -14.283      -5.8028      0.0000
      4637.50      308.195      2.342E-04      -14.412      -5.7817      0.0000
      4662.50      308.309      2.365E-04      -14.542      -5.7593      0.0000
      4687.50      308.422      2.388E-04      -14.673      -5.7357      0.0000
      4712.50      308.534      2.412E-04      -14.806      -5.7108      0.0000
      4737.50      308.645      2.437E-04      -14.939      -5.6847      0.0000
      4762.50      308.755      2.462E-04      -15.073      -5.6573      0.0000
      4787.50      308.863      2.488E-04      -15.208      -5.6287      0.0000
      4812.50      308.971      2.514E-04      -15.344      -5.5989      0.0000
      4837.50      309.077      2.541E-04      -15.480      -5.5679      0.0000
      4862.50      309.182      2.568E-04      -15.618      -5.5357      0.0000
      4887.50      309.286      2.595E-04      -15.756      -5.5022      0.0000
      4912.50      309.389      2.623E-04      -15.895      -5.4675      0.0000
      4937.50      309.490      2.652E-04      -16.034      -5.4317      0.0000
      4962.50      309.591      2.680E-04      -16.174      -5.3946      0.0000
      4987.50      309.690      2.709E-04      -16.315      -5.3564      0.0000
