date=12/05/08 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      4537.50      306.346      2.143E-04      -2.7057      -1.2536      0.0000
      4562.50      306.419      2.151E-04      -2.7178      -1.2561      0.0000
      4587.50      306.492      2.159E-04      -2.7298      -1.2581      0.0000
      4612.50      306.564      2.167E-04      -2.7419      -1.2599      0.0000
      4637.50      306.636      2.176E-04      -2.7538      -1.2613      0.0000
      4662.50      306.707      2.184E-04      -2.7657      -1.2623      0.0000
      4687.50      306.777      2.194E-04      -2.7775      -1.2631      0.0000
      4712.50      306.847      2.203E-04      -2.7891      -1.2635      0.0000
      4737.50      306.916      2.212E-04      -2.8006      -1.2635      0.0000
      4762.50      306.985      2.221E-04      -2.8118      -1.2633      0.0000
      4787.50      307.053      2.231E-04      -2.8228      -1.2627      0.0000
      4812.50      307.120      2.240E-04      -2.8336      -1.2618      0.0000
      4837.50      307.187      2.249E-04      -2.8441      -1.2606      0.0000
      4862.50      307.254      2.258E-04      -2.8542      -1.2590      0.0000
      4887.50      307.320      2.267E-04      -2.8640      -1.2572      0.0000
      4912.50      307.385      2.276E-04      -2.8735      -1.2550      0.0000
      4937.50      307.450      2.285E-04      -2.8825      -1.2525      0.0000
      4962.50      307.515      2.293E-04      -2.8911      -1.2496      0.0000
      4987.50      307.579      2.301E-04      -2.8993      -1.2465      0.0000
