#ASTEX case using prescribed vertical grid, Nlev = 427 1 date07/01/09 00
height(m)   T(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)     pres
      3012.50      270.135      3.038E-03      -0.1221      -6.9856      0.0000      704.394
      3037.50      270.016      2.982E-03      -0.0599      -6.9925      0.0000      702.172
      3062.50      269.897      2.927E-03      0.0012      -7.0002      0.0000      699.955
      3087.50      269.778      2.872E-03      0.0613      -7.0087      0.0000      697.745
      3112.50      269.658      2.817E-03      0.1204      -7.0180      0.0000      695.540
      3137.50      269.538      2.762E-03      0.1785      -7.0282      0.0000      693.341
      3162.50      269.418      2.707E-03      0.2356      -7.0392      0.0000      691.149
      3187.50      269.297      2.653E-03      0.2918      -7.0510      0.0000      688.962
      3212.50      269.175      2.599E-03      0.3471      -7.0637      0.0000      686.781
      3237.50      269.053      2.545E-03      0.4016      -7.0772      0.0000      684.605
      3262.50      268.931      2.492E-03      0.4552      -7.0916      0.0000      682.436
      3287.50      268.809      2.439E-03      0.5080      -7.1068      0.0000      680.273
      3312.50      268.685      2.387E-03      0.5601      -7.1228      0.0000      678.115
      3337.50      268.562      2.335E-03      0.6113      -7.1397      0.0000      675.963
      3362.50      268.438      2.283E-03      0.6619      -7.1574      0.0000      673.817
      3387.50      268.313      2.232E-03      0.7117      -7.1760      0.0000      671.677
      3412.50      268.188      2.182E-03      0.7608      -7.1953      0.0000      669.542
      3437.50      268.063      2.132E-03      0.8092      -7.2155      0.0000      667.414
      3462.50      267.937      2.083E-03      0.8569      -7.2365      0.0000      665.291
      3487.50      267.810      2.034E-03      0.9040      -7.2583      0.0000      663.173
      3512.50      267.683      1.986E-03      0.9505      -7.2809      0.0000      661.062
      3537.50      267.555      1.938E-03      0.9964      -7.3043      0.0000      658.956
      3562.50      267.427      1.892E-03      1.0416      -7.3285      0.0000      656.855
      3587.50      267.299      1.846E-03      1.0862      -7.3534      0.0000      654.761
      3612.50      267.170      1.800E-03      1.1303      -7.3791      0.0000      652.672
      3637.50      267.040      1.756E-03      1.1738      -7.4056      0.0000      650.589
      3662.50      266.910      1.712E-03      1.2167      -7.4328      0.0000      648.511
      3687.50      266.779      1.669E-03      1.2590      -7.4607      0.0000      646.439
      3712.50      266.648      1.626E-03      1.3008      -7.4894      0.0000      644.372
      3737.50      266.516      1.585E-03      1.3420      -7.5187      0.0000      642.311
      3762.50      266.384      1.544E-03      1.3827      -7.5488      0.0000      640.256
      3787.50      266.251      1.504E-03      1.4229      -7.5795      0.0000      638.206
      3812.50      266.117      1.464E-03      1.4625      -7.6110      0.0000      636.162
      3837.50      265.983      1.426E-03      1.5016      -7.6431      0.0000      634.123
      3862.50      265.848      1.388E-03      1.5402      -7.6758      0.0000      632.089
      3887.50      265.713      1.351E-03      1.5782      -7.7092      0.0000      630.062
      3912.50      265.577      1.314E-03      1.6158      -7.7432      0.0000      628.039
      3937.50      265.441      1.279E-03      1.6528      -7.7778      0.0000      626.022
      3962.50      265.304      1.244E-03      1.6892      -7.8130      0.0000      624.011
      3987.50      265.166      1.210E-03      1.7252      -7.8488      0.0000      622.005
      4012.50      265.028      1.177E-03      1.7606      -7.8852      0.0000      620.004
      4037.50      264.889      1.144E-03      1.7955      -7.9221      0.0000      618.009
      4062.50      264.749      1.112E-03      1.8299      -7.9595      0.0000      616.019
      4087.50      264.609      1.081E-03      1.8638      -7.9975      0.0000      614.034
      4112.50      264.468      1.051E-03      1.8971      -8.0360      0.0000      612.055
      4137.50      264.326      1.021E-03      1.9299      -8.0750      0.0000      610.081
      4162.50      264.184      9.921E-04      1.9622      -8.1145      0.0000      608.113
      4187.50      264.041      9.639E-04      1.9939      -8.1544      0.0000      606.149
      4212.50      263.897      9.364E-04      2.0251      -8.1948      0.0000      604.191
      4237.50      263.753      9.096E-04      2.0558      -8.2356      0.0000      602.239
      4262.50      263.608      8.835E-04      2.0859      -8.2768      0.0000      600.291
      4287.50      263.462      8.581E-04      2.1155      -8.3185      0.0000      598.349
      4312.50      263.316      8.333E-04      2.1445      -8.3605      0.0000      596.412
      4337.50      263.169      8.092E-04      2.1730      -8.4028      0.0000      594.480
      4362.50      263.021      7.857E-04      2.2009      -8.4456      0.0000      592.554
      4387.50      262.873      7.628E-04      2.2283      -8.4886      0.0000      590.632
      4412.50      262.723      7.406E-04      2.2551      -8.5320      0.0000      588.716
      4437.50      262.573      7.190E-04      2.2813      -8.5756      0.0000      586.805
      4462.50      262.423      6.980E-04      2.3070      -8.6196      0.0000      584.899
      4487.50      262.271      6.776E-04      2.3320      -8.6638      0.0000      582.998
      4512.50      262.119      6.577E-04      2.3565      -8.7082      0.0000      581.102
      4537.50      261.966      6.385E-04      2.3805      -8.7528      0.0000      579.212
      4562.50      261.812      6.198E-04      2.4038      -8.7977      0.0000      577.326
      4587.50      261.658      6.016E-04      2.4266      -8.8427      0.0000      575.446
      4612.50      261.503      5.840E-04      2.4487      -8.8879      0.0000      573.570
      4637.50      261.347      5.668E-04      2.4703      -8.9332      0.0000      571.700
      4662.50      261.190      5.502E-04      2.4913      -8.9787      0.0000      569.834
      4687.50      261.032      5.341E-04      2.5117      -9.0242      0.0000      567.974
      4712.50      260.874      5.185E-04      2.5315      -9.0699      0.0000      566.119
      4737.50      260.715      5.034E-04      2.5506      -9.1156      0.0000      564.268
      4762.50      260.555      4.887E-04      2.5692      -9.1613      0.0000      562.423
      4787.50      260.394      4.745E-04      2.5872      -9.2071      0.0000      560.582
      4812.50      260.232      4.607E-04      2.6045      -9.2528      0.0000      558.747
      4837.50      260.070      4.474E-04      2.6213      -9.2985      0.0000      556.916
      4862.50      259.906      4.345E-04      2.6374      -9.3442      0.0000      555.090
      4887.50      259.742      4.219E-04      2.6530      -9.3898      0.0000      553.269
      4912.50      259.577      4.098E-04      2.6679      -9.4353      0.0000      551.453
      4937.50      259.411      3.981E-04      2.6822      -9.4807      0.0000      549.642
      4962.50      259.245      3.868E-04      2.6959      -9.5260      0.0000      547.836
      4987.50      259.077      3.758E-04      2.7090      -9.5711      0.0000      546.034
