#ASTEX case using prescribed vertical grid, Nlev = 427
 height(m)    thl(K)    qt(kg/kg)        u(m/s)       v(m/s)            tke(m2/s2)
      1062.50      295.600   0.00812000     -2.00000     -10.0000      0.00000
      1067.50      295.630   0.00810600     -2.00000     -10.0000      0.00000
      1072.50      295.660   0.00809200     -2.00000     -10.0000      0.00000
      1077.50      295.690   0.00807800     -2.00000     -10.0000      0.00000
      1082.50      295.720   0.00806400     -2.00000     -10.0000      0.00000
      1087.50      295.750   0.00805000     -2.00000     -10.0000      0.00000
      1092.50      295.780   0.00803600     -2.00000     -10.0000      0.00000
      1097.50      295.810   0.00802200     -2.00000     -10.0000      0.00000
      1102.50      295.840   0.00800800     -2.00000     -10.0000      0.00000
      1107.50      295.870   0.00799400     -2.00000     -10.0000      0.00000
      1112.50      295.900   0.00798000     -2.00000     -10.0000      0.00000
      1117.50      295.930   0.00796600     -2.00000     -10.0000      0.00000
      1122.50      295.960   0.00795200     -2.00000     -10.0000      0.00000
      1127.50      295.990   0.00793800     -2.00000     -10.0000      0.00000
      1132.50      296.020   0.00792400     -2.00000     -10.0000      0.00000
      1137.50      296.050   0.00791000     -2.00000     -10.0000      0.00000
      1142.50      296.080   0.00789600     -2.00000     -10.0000      0.00000
      1147.50      296.110   0.00788200     -2.00000     -10.0000      0.00000
      1152.50      296.140   0.00786800     -2.00000     -10.0000      0.00000
      1157.50      296.170   0.00785400     -2.00000     -10.0000      0.00000
      1162.50      296.200   0.00784000     -2.00000     -10.0000      0.00000
      1167.50      296.230   0.00782600     -2.00000     -10.0000      0.00000
      1172.50      296.260   0.00781200     -2.00000     -10.0000      0.00000
      1177.50      296.290   0.00779800     -2.00000     -10.0000      0.00000
      1182.50      296.320   0.00778400     -2.00000     -10.0000      0.00000
      1187.50      296.350   0.00777000     -2.00000     -10.0000      0.00000
      1192.50      296.380   0.00775600     -2.00000     -10.0000      0.00000
      1197.50      296.410   0.00774200     -2.00000     -10.0000      0.00000
      1202.50      296.440   0.00772800     -2.00000     -10.0000      0.00000
      1207.50      296.470   0.00771400     -2.00000     -10.0000      0.00000
      1212.50      296.500   0.00770000     -2.00000     -10.0000      0.00000
      1217.50      296.530   0.00768600     -2.00000     -10.0000      0.00000
      1222.50      296.560   0.00767200     -2.00000     -10.0000      0.00000
      1227.50      296.590   0.00765800     -2.00000     -10.0000      0.00000
      1232.50      296.620   0.00764400     -2.00000     -10.0000      0.00000
      1237.50      296.650   0.00763000     -2.00000     -10.0000      0.00000
      1242.50      296.680   0.00761600     -2.00000     -10.0000      0.00000
      1247.50      296.710   0.00760200     -2.00000     -10.0000      0.00000
      1252.50      296.740   0.00758800     -2.00000     -10.0000      0.00000
      1257.50      296.770   0.00757400     -2.00000     -10.0000      0.00000
