#ASTEX case using prescribed vertical grid, Nlev = 427 1 date=04/04/09
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      1432.50      293.591      7.671E-06      -3.3608      -7.3174      0.0000
      1437.50      293.584      7.647E-06      -3.3631      -7.3120      0.0000
      1442.50      293.577      7.622E-06      -3.3652      -7.3066      0.0000
      1447.50      293.570      7.598E-06      -3.3673      -7.3012      0.0000
      1452.50      293.563      7.574E-06      -3.3693      -7.2958      0.0000
      1457.50      293.556      7.550E-06      -3.3711      -7.2904      0.0000
      1462.50      293.550      7.526E-06      -3.3729      -7.2850      0.0000
      1467.50      293.543      7.502E-06      -3.3745      -7.2796      0.0000
      1472.50      293.537      7.479E-06      -3.3760      -7.2742      0.0000
      1477.50      293.531      7.455E-06      -3.3773      -7.2689      0.0000
      1482.50      293.525      7.432E-06      -3.3786      -7.2636      0.0000
      1487.50      293.519      7.409E-06      -3.3796      -7.2583      0.0000
      1492.50      293.513      7.386E-06      -3.3805      -7.2531      0.0000
      1497.50      293.508      7.363E-06      -3.3813      -7.2479      0.0000
      1502.50      293.502      7.341E-06      -3.3819      -7.2428      0.0000
      1507.50      293.498      7.318E-06      -3.3824      -7.2377      0.0000
      1512.50      293.493      7.296E-06      -3.3827      -7.2327      0.0000
      1517.50      293.488      7.274E-06      -3.3828      -7.2277      0.0000
      1522.50      293.484      7.252E-06      -3.3828      -7.2228      0.0000
      1527.50      293.480      7.230E-06      -3.3827      -7.2180      0.0000
      1532.50      293.476      7.208E-06      -3.3824      -7.2132      0.0000
      1537.50      293.472      7.187E-06      -3.3819      -7.2084      0.0000
      1542.50      293.468      7.166E-06      -3.3813      -7.2038      0.0000
      1547.50      293.465      7.144E-06      -3.3806      -7.1991      0.0000
      1552.50      293.462      7.123E-06      -3.3797      -7.1946      0.0000
      1557.50      293.459      7.102E-06      -3.3787      -7.1900      0.0000
      1562.50      293.456      7.082E-06      -3.3775      -7.1856      0.0000
      1567.50      293.454      7.061E-06      -3.3762      -7.1811      0.0000
      1572.50      293.452      7.041E-06      -3.3747      -7.1768      0.0000
      1577.50      293.450      7.020E-06      -3.3731      -7.1725      0.0000
      1582.50      293.448      7.000E-06      -3.3713      -7.1682      0.0000
      1587.50      293.446      6.980E-06      -3.3695      -7.1640      0.0000
      1592.50      293.445      6.960E-06      -3.3674      -7.1598      0.0000
      1597.50      293.443      6.941E-06      -3.3653      -7.1557      0.0000
      1602.50      293.442      6.921E-06      -3.3630      -7.1517      0.0000
      1607.50      293.441      6.901E-06      -3.3605      -7.1477      0.0000
      1612.50      293.441      6.882E-06      -3.3580      -7.1437      0.0000
      1617.50      293.440      6.863E-06      -3.3553      -7.1398      0.0000
      1622.50      293.440      6.844E-06      -3.3524      -7.1360      0.0000
      1627.50      293.440      6.825E-06      -3.3495      -7.1322      0.0000
      1632.50      293.440      6.806E-06      -3.3464      -7.1284      0.0000
      1637.50      293.440      6.788E-06      -3.3432      -7.1247      0.0000
      1642.50      293.441      6.769E-06      -3.3398      -7.1211      0.0000
      1647.50      293.442      6.751E-06      -3.3363      -7.1175      0.0000
      1652.50      293.443      6.732E-06      -3.3327      -7.1139      0.0000
      1657.50      293.444      6.714E-06      -3.3290      -7.1104      0.0000
      1662.50      293.445      6.696E-06      -3.3251      -7.1070      0.0000
      1667.50      293.446      6.678E-06      -3.3211      -7.1036      0.0000
      1672.50      293.448      6.661E-06      -3.3170      -7.1002      0.0000
      1677.50      293.450      6.643E-06      -3.3128      -7.0969      0.0000
      1682.50      293.452      6.626E-06      -3.3084      -7.0937      0.0000
      1687.50      293.454      6.608E-06      -3.3040      -7.0905      0.0000
      1692.50      293.457      6.591E-06      -3.2994      -7.0873      0.0000
      1697.50      293.459      6.574E-06      -3.2947      -7.0842      0.0000
      1702.50      293.462      6.557E-06      -3.2898      -7.0811      0.0000
      1707.50      293.465      6.540E-06      -3.2849      -7.0781      0.0000
      1712.50      293.468      6.523E-06      -3.2798      -7.0751      0.0000
      1717.50      293.472      6.507E-06      -3.2746      -7.0722      0.0000
      1722.50      293.475      6.490E-06      -3.2693      -7.0693      0.0000
      1727.50      293.479      6.474E-06      -3.2639      -7.0664      0.0000
      1732.50      293.483      6.457E-06      -3.2584      -7.0636      0.0000
      1737.50      293.487      6.441E-06      -3.2528      -7.0609      0.0000
      1742.50      293.491      6.425E-06      -3.2470      -7.0582      0.0000
      1747.50      293.496      6.409E-06      -3.2412      -7.0555      0.0000
      1752.50      293.501      6.393E-06      -3.2352      -7.0529      0.0000
      1757.50      293.505      6.377E-06      -3.2291      -7.0503      0.0000
      1762.50      293.510      6.362E-06      -3.2229      -7.0478      0.0000
      1767.50      293.516      6.346E-06      -3.2166      -7.0453      0.0000
      1772.50      293.521      6.331E-06      -3.2102      -7.0428      0.0000
      1777.50      293.527      6.315E-06      -3.2037      -7.0404      0.0000
      1782.50      293.532      6.300E-06      -3.1971      -7.0380      0.0000
      1787.50      293.538      6.285E-06      -3.1904      -7.0357      0.0000
      1792.50      293.544      6.270E-06      -3.1836      -7.0334      0.0000
      1797.50      293.551      6.255E-06      -3.1767      -7.0311      0.0000
      1802.50      293.557      6.240E-06      -3.1697      -7.0289      0.0000
      1807.50      293.564      6.226E-06      -3.1625      -7.0267      0.0000
      1812.50      293.570      6.211E-06      -3.1553      -7.0246      0.0000
      1817.50      293.577      6.197E-06      -3.1480      -7.0225      0.0000
      1822.50      293.585      6.182E-06      -3.1406      -7.0204      0.0000
      1827.50      293.592      6.168E-06      -3.1331      -7.0184      0.0000
      1832.50      293.599      6.154E-06      -3.1255      -7.0164      0.0000
      1837.50      293.607      6.139E-06      -3.1178      -7.0144      0.0000
      1842.50      293.615      6.125E-06      -3.1100      -7.0125      0.0000
      1847.50      293.623      6.112E-06      -3.1021      -7.0106      0.0000
      1852.50      293.631      6.098E-06      -3.0941      -7.0088      0.0000
      1857.50      293.639      6.084E-06      -3.0860      -7.0070      0.0000
      1862.50      293.648      6.070E-06      -3.0778      -7.0052      0.0000
      1867.50      293.656      6.057E-06      -3.0695      -7.0035      0.0000
      1872.50      293.665      6.043E-06      -3.0612      -7.0018      0.0000
      1877.50      293.674      6.030E-06      -3.0527      -7.0001      0.0000
      1882.50      293.683      6.017E-06      -3.0442      -6.9984      0.0000
      1887.50      293.692      6.003E-06      -3.0356      -6.9968      0.0000
      1892.50      293.702      5.990E-06      -3.0269      -6.9953      0.0000
      1897.50      293.712      5.977E-06      -3.0181      -6.9937      0.0000
      1902.50      293.721      5.964E-06      -3.0092      -6.9922      0.0000
      1907.50      293.731      5.952E-06      -3.0002      -6.9907      0.0000
      1912.50      293.741      5.939E-06      -2.9912      -6.9893      0.0000
      1917.50      293.752      5.926E-06      -2.9820      -6.9878      0.0000
      1922.50      293.762      5.914E-06      -2.9728      -6.9864      0.0000
      1927.50      293.773      5.901E-06      -2.9635      -6.9851      0.0000
      1932.50      293.783      5.889E-06      -2.9541      -6.9837      0.0000
      1937.50      293.794      5.876E-06      -2.9447      -6.9824      0.0000
      1942.50      293.805      5.864E-06      -2.9351      -6.9812      0.0000
      1947.50      293.817      5.852E-06      -2.9255      -6.9799      0.0000
      1952.50      293.828      5.840E-06      -2.9158      -6.9787      0.0000
      1957.50      293.839      5.828E-06      -2.9060      -6.9775      0.0000
      1962.50      293.851      5.816E-06      -2.8962      -6.9763      0.0000
      1967.50      293.863      5.804E-06      -2.8862      -6.9752      0.0000
      1972.50      293.875      5.792E-06      -2.8762      -6.9740      0.0000
      1977.50      293.887      5.780E-06      -2.8661      -6.9730      0.0000
      1982.50      293.899      5.769E-06      -2.8560      -6.9719      0.0000
      1987.50      293.912      5.757E-06      -2.8458      -6.9708      0.0000
      1992.50      293.924      5.746E-06      -2.8355      -6.9698      0.0000
      1997.50      293.937      5.734E-06      -2.8251      -6.9688      0.0000
      2002.50      293.950      5.723E-06      -2.8146      -6.9679      0.0000
      2007.50      293.963      5.712E-06      -2.8041      -6.9669      0.0000
      2012.50      293.976      5.701E-06      -2.7935      -6.9660      0.0000
      2017.50      293.989      5.689E-06      -2.7829      -6.9651      0.0000
      2022.50      294.003      5.678E-06      -2.7722      -6.9642      0.0000
      2027.50      294.016      5.667E-06      -2.7614      -6.9634      0.0000
      2032.50      294.030      5.657E-06      -2.7505      -6.9625      0.0000
      2037.50      294.044      5.646E-06      -2.7396      -6.9617      0.0000
      2042.50      294.058      5.635E-06      -2.7286      -6.9609      0.0000
      2047.50      294.072      5.624E-06      -2.7176      -6.9601      0.0000
      2052.50      294.086      5.614E-06      -2.7064      -6.9594      0.0000
      2057.50      294.101      5.603E-06      -2.6953      -6.9586      0.0000
      2062.50      294.115      5.593E-06      -2.6840      -6.9579      0.0000
      2067.50      294.130      5.582E-06      -2.6727      -6.9572      0.0000
      2072.50      294.145      5.572E-06      -2.6613      -6.9566      0.0000
      2077.50      294.160      5.562E-06      -2.6499      -6.9559      0.0000
      2082.50      294.175      5.551E-06      -2.6384      -6.9553      0.0000
      2087.50      294.190      5.541E-06      -2.6269      -6.9546      0.0000
      2092.50      294.206      5.531E-06      -2.6153      -6.9540      0.0000
      2097.50      294.221      5.521E-06      -2.6036      -6.9534      0.0000
      2102.50      294.237      5.511E-06      -2.5919      -6.9529      0.0000
      2107.50      294.253      5.501E-06      -2.5801      -6.9523      0.0000
      2112.50      294.269      5.491E-06      -2.5683      -6.9518      0.0000
      2117.50      294.285      5.482E-06      -2.5564      -6.9512      0.0000
      2122.50      294.301      5.472E-06      -2.5445      -6.9507      0.0000
      2127.50      294.317      5.462E-06      -2.5325      -6.9502      0.0000
      2132.50      294.334      5.453E-06      -2.5204      -6.9498      0.0000
      2137.50      294.350      5.443E-06      -2.5083      -6.9493      0.0000
      2142.50      294.367      5.434E-06      -2.4962      -6.9488      0.0000
      2147.50      294.384      5.424E-06      -2.4840      -6.9484      0.0000
      2152.50      294.401      5.415E-06      -2.4717      -6.9480      0.0000
      2157.50      294.418      5.405E-06      -2.4594      -6.9476      0.0000
